Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2022-05-07;.2;15.9;76.8;
2022-05-08;0;17.2;74.9;
2022-05-09;0;18.2;73.5;
2022-05-10;0;18;73.2;
2022-05-11;0;19.2;72.8;
2022-05-12;4.2;18.5;75.1;
2022-05-13;0;18.5;72.5;
2022-05-14;0;19.3;73.2;
2022-05-15;6.8;19.3;76.7;
2022-05-16;0;18.9;69.8;
2022-05-17;0;15.4;56.6;
2022-05-18;0;9.7;58.3;
2022-05-19;0;10.5;69.5;
2022-05-20;0;12.5;70;
2022-05-21;0;14.1;71.8;
2022-05-22;0;15.2;71.1;
2022-05-23;0;16.5;65.4;
2022-05-24;0;17.9;59.5;
2022-05-25;0;18.6;54.9;
2022-05-26;0;18.7;58.8;
2022-05-27;0;19.3;55;
2022-05-28;0;19.4;51.9;
2022-05-29;0;21.2;45.5;
2022-05-30;.6;20.6;61.1;
2022-05-31;31;16.7;87.9;
2022-06-01;2.8;18;86.4;
2022-06-02;.4;17.9;85.2;
2022-06-03;0;16.3;82;
2022-06-04;.4;16.1;78.9;
2022-06-05;0;17.4;72.1;
2022-06-06;0;18;71.9;
2022-06-07;0;19.3;68.3;
2022-06-08;6.6;17;90.1;
2022-06-09;.2;17.4;82;
2022-06-10;21.8;18.3;81.1;
2022-06-11;.2;15.4;80.2;
2022-06-12;.4;14.1;62;
2022-06-13;0;12.6;57.3;
2022-06-14;0;13.4;75;
2022-06-15;0;14.4;76.3;
2022-06-16;.2;16.9;65.1;
2022-06-17;0;18.6;53.4;
2022-06-18;0;17.3;70.4;
2022-06-19;.2;14.8;80.6;
2022-06-20;0;16.8;76.4;
2022-06-21;.2;18.7;73.9;
2022-06-22;0;21.3;53.6;
2022-06-23;0;21.5;47.8;
2022-06-24;0;20.7;49.5;
2022-06-25;0;18.2;66.4;
2022-06-26;.2;15.4;80.3;
2022-06-27;.6;14.8;77.1;
2022-06-28;0;16.7;71.7;
2022-06-29;0;19.9;56;
2022-06-30;0;17.8;66.5;
2022-07-01;0;16.2;73.6;
2022-07-02;0;19.3;61.1;
2022-07-03;0;20.4;57.8;
2022-07-04;0;20.2;52.1;
2022-07-05;0;19.9;47.1;
2022-07-06;0;19.1;50.6;
2022-07-07;0;21;41.8;
2022-07-08;0;19.6;53;
2022-07-09;0;17.9;67.5;
2022-07-10;0;18.4;64.6;
2022-07-11;0;19.9;49.4;
2022-07-12;0;21.3;45.4;
2022-07-13;0;16.5;78.1;
2022-07-14;0;19.3;68.4;
2022-07-15;0;21.2;48.5;
2022-07-16;0;22.1;47.7;
2022-07-17;0;21.8;51;
2022-07-18;0;18.2;75.7;
2022-07-19;0;20;70.2;
2022-07-20;0;18.5;71.3;
2022-07-21;0;19.2;64.3;
2022-07-22;0;20;51.7;
2022-07-23;0;20.2;45.5;
2022-07-24;0;19.9;48.5;
2022-07-25;0;19.8;54.5;
2022-07-26;0;18.6;62.7;
2022-07-27;0;18.8;68;
2022-07-28;0;20.5;57.2;
2022-07-29;0;18.4;59.2;
2022-07-30;9;13.8;70.1;
2022-07-31;.2;15.1;65.8;
2022-08-01;0;16.9;69.6;
2022-08-02;0;19.5;54.8;
2022-08-03;0;18.6;57.6;
2022-08-04;0;20.2;59.9;
2022-08-05;0;21;50.9;
2022-08-06;.6;15.5;76.3;
2022-08-07;.6;16.7;82.6;
2022-08-08;16.2;17.3;82.5;
2022-08-09;.2;16.8;84.8;
2022-08-10;13.4;15.4;70.4;
2022-08-11;2.4;12.6;78.1;
2022-08-12;.8;15;73.7;
2022-08-13;.2;16.7;66.3;
2022-08-14;0;18.8;59.9;
2022-08-15;0;20.8;46.2;
2022-08-16;0;21.7;42.4;
2022-08-17;0;18.9;64.1;
2022-08-18;.4;21.7;50.3;
2022-08-19;1.8;11.7;76.5;
2022-08-20;.2;11.2;75.2;
2022-08-21;0;14;68.5;
2022-08-22;0;14.8;69.2;
2022-08-23;0;16.1;69.3;
2022-08-24;0;17.7;69.4;
2022-08-25;0;19;69;
2022-08-26;0;20.7;60.2;
2022-08-27;0;21.8;49.1;
2022-08-28;0;19.8;57.7;
2022-08-29;.4;13.1;77.8;
2022-08-30;0;12.6;71.9;
2022-08-31;0;14.4;65.2;
2022-09-01;0;17.1;56.3;
2022-09-02;0;20;43.3;
2022-09-03;0;17.5;66.6;
2022-09-04;13.8;12.1;81;
2022-09-05;0;14.2;73.7;
2022-09-06;0;15.9;76.7;
2022-09-07;7;15.7;84.9;
2022-09-08;1.4;20.7;56.9;
2022-09-09;0;25.3;40.8;
2022-09-10;0;23.3;46.4;
2022-09-11;3.2;13.9;77.8;
2022-09-12;0;14.9;82.3;
2022-09-13;2.2;19;76.4;
2022-09-14;3.2;17.1;86.1;
2022-09-15;6;14.8;87.6;
2022-09-16;.2;14.2;82.9;
2022-09-17;.4;13.8;70.9;
2022-09-18;.2;14.8;66;
2022-09-19;0;17.1;67;
2022-09-20;7.4;19.6;71.3;
2022-09-21;0;17.8;73.3;
2022-09-22;9;19;82.2;
2022-09-23;0;17.8;59.1;
2022-09-24;0;14.5;58.8;
2022-09-25;0;15.5;70.6;
2022-09-26;5.6;15.7;90.2;
2022-09-27;22.4;17.5;84.9;
2022-09-28;41.8;15.1;93.5;
2022-09-29;22.2;13.9;87.7;
2022-09-30;0;15.2;84;
2022-10-01;12.6;18.1;82.7;
2022-10-02;1;18.1;76.5;
2022-10-03;0;17.3;75.5;
2022-10-04;.6;17.4;81.2;
2022-10-05;0;18.8;74.1;
2022-10-06;0;22.9;60.5;
2022-10-07;8.6;21.4;67.1;
2022-10-08;2;21.4;53.8;
2022-10-09;0;20.4;75;
2022-10-10;27.4;18.5;87.7;
2022-10-11;1.6;21.4;80.3;
2022-10-12;0;21;74.5;
2022-10-13;.4;22.4;64.5;
2022-10-14;0;19.7;74.5;
2022-10-15;1.2;19.5;79.6;
2022-10-16;0;20.6;70;
2022-10-17;.2;21;71;
2022-10-18;0;18.4;80.1;
2022-10-19;6.8;19.9;76.5;
2022-10-20;0;22.2;68.9;
2022-10-21;6.4;21.6;67.7;
2022-10-22;.2;21.3;69.4;
2022-10-23;0;20;65.7;
2022-10-24;0;19.6;73;
2022-10-25;0;19.8;65.5;
2022-10-26;0;21;62.6;
2022-10-27;0;24.9;55.6;
2022-10-28;3.2;24.1;59;
2022-10-29;0;24.5;59.1;
2022-10-30;15;23.9;63.2;
2022-10-31;30;21.8;76.8;
2022-11-01;10.8;17.1;80.3;
2022-11-02;1.8;13.6;83.1;
2022-11-03;5;13.4;77.8;
2022-11-04;.8;14.4;68;
2022-11-05;0;15.9;63;
2022-11-06;0;16;67.5;
2022-11-07;0;15.9;70.1;
2022-11-08;.2;17.1;62.9;
2022-11-09;0;19.3;65.3;
2022-11-10;0;19.9;71.3;
2022-11-11;0;20.1;78;
2022-11-12;30.6;20.9;73.8;
2022-11-13;0;22.9;64.7;
2022-11-14;11;23.7;67;
2022-11-15;1.4;23.9;54.8;
2022-11-16;0;20.7;52;
2022-11-17;0;19.9;50;
2022-11-18;0;19.5;61.2;
2022-11-19;0;19.4;62.8;
2022-11-20;0;20;72;
2022-11-21;21.8;22.3;65.7;
2022-11-22;0;22.4;66.1;
2022-11-23;12;22.1;72;
2022-11-24;29.6;20.4;70.5;
2022-11-25;13.4;17.6;76;
2022-11-26;0;19.4;65.2;
2022-11-27;0;20.4;71.3;
2022-11-28;1;19.6;80.7;
2022-11-29;24;20.2;79.9;
2022-11-30;15;20.2;80;
2022-12-01;6.8;22;70.6;
2022-12-02;0;23.2;71.1;
2022-12-03;2.4;23;76.4;
2022-12-04;8.6;22.3;78;
2022-12-05;4;21.7;83.1;
2022-12-06;13.4;21.5;83.7;
2022-12-07;36.8;22;80.7;
2022-12-08;.2;23.7;56.9;
2022-12-09;0;25.3;48.8;
2022-12-10;0;25.4;54.1;
2022-12-11;0;25.3;59;
2022-12-12;2.8;23.4;73.5;
2022-12-13;25.8;20.1;83;
2022-12-14;8.6;18.8;68.1;
2022-12-15;0;20.5;64.9;
2022-12-16;0;21.3;68.3;
2022-12-17;0;20.8;66.1;
2022-12-18;0;20.8;69.1;
2022-12-19;0;19.5;75.2;
2022-12-20;4;18.8;84.5;
2022-12-21;2.4;18.3;82.2;
2022-12-22;1.4;17.9;80.5;
2022-12-23;0;19.3;68.5;
2022-12-24;0;21.1;68.9;
2022-12-25;0;21.8;72.9;
2022-12-26;2.2;22.5;71.3;
2022-12-27;.6;23.1;71.8;
2022-12-28;31.6;21.8;76.5;
2022-12-29;2.4;22.3;73.9;
2022-12-30;12.2;21.6;79.8;
2022-12-31;0;21.5;78;
2023-01-01;9.2;22.6;73.8;
2023-01-02;1;23.5;67;
2023-01-03;0;23.1;69.3;
2023-01-04;8.8;21.1;80;
2023-01-05;46.2;17.2;91.8;
2023-01-06;11;16.8;81;
2023-01-07;5.2;16.8;85.3;
2023-01-08;.2;19;78.7;
2023-01-09;.8;19.3;82.2;
2023-01-10;0;20.8;80.6;
2023-01-11;6.6;21.7;79.8;
2023-01-12;4.4;22.9;69.8;
2023-01-13;14.6;23.5;72.5;
2023-01-14;33.8;23.5;72.1;
2023-01-15;0;25.2;69.4;
2023-01-16;4;24.7;72;
2023-01-17;1;25.1;69.5;
2023-01-18;1;23.6;73;
2023-01-19;1.2;23.1;71.7;
2023-01-20;.4;21.3;78.1;
2023-01-21;7;22.5;73.7;
2023-01-22;0;24.5;64.8;
2023-01-23;0;23.8;68.6;
2023-01-24;6.8;22.7;74.8;
2023-01-25;14.8;23.6;69;
2023-01-26;0;23.4;53;
2023-01-27;0;22.6;62.6;
2023-01-28;0;23;72.5;
2023-01-29;30.2;23.2;76.3;
2023-01-30;1.6;23;71.8;
2023-01-31;2.6;23.6;70;
2023-02-01;48.2;23.2;75.4;
2023-02-02;13.6;24.4;68.8;
2023-02-03;.6;23.6;69.2;
2023-02-04;3.4;22.9;71.1;
2023-02-05;10.6;24.1;71.8;
2023-02-06;10.2;22.8;75.6;
2023-02-07;6.4;21.6;82.8;
2023-02-08;45.6;22.4;76.4;
2023-02-09;0;22.9;73.1;
2023-02-10;10.2;23.3;72.7;
2023-02-11;.6;21.2;81.6;
2023-02-12;26;21.7;80.2;
2023-02-13;30.8;23;74.2;
2023-02-14;7;24.4;67.4;
2023-02-15;2.2;24.1;69.3;
2023-02-16;12.8;23.4;70.3;
2023-02-17;32.6;23.8;69.1;
2023-02-18;13.2;22.1;82.9;
2023-02-19;50.6;18.7;88.2;
2023-02-20;4.2;22.4;77.7;
2023-02-21;60.4;22.4;76.1;
2023-02-22;18.2;21.7;78.6;
2023-02-23;3.8;22.3;78.2;
2023-02-24;6.6;23.7;72.3;
2023-02-25;0;24.4;68.8;
2023-02-26;.8;25.4;60.9;
2023-02-27;0;23.7;73.7;
2023-02-28;1.6;22;80.5;
2023-03-01;12.2;22.4;72.1;
2023-03-02;1.2;23.9;69.5;
2023-03-03;0;24.8;66;
2023-03-04;.8;24;72.9;
2023-03-05;.6;23.7;65.5;
2023-03-06;12.8;23.3;65.8;
2023-03-07;0;23.8;56.9;
2023-03-08;2.2;23.3;64.4;
2023-03-09;4.8;22.9;73.4;
2023-03-10;31.4;22.1;79.8;
2023-03-11;58.4;21.2;82.3;
2023-03-12;30.4;20.9;89.5;
2023-03-13;19;21.4;84.5;
2023-03-14;36.6;22.2;83;
2023-03-15;3.8;22.6;75.1;
2023-03-16;0;22.7;69.1;
2023-03-17;0;22.2;67.4;
2023-03-18;0;22.6;66.8;
2023-03-19;0;23.7;67.5;
2023-03-20;.6;24.3;66.9;
2023-03-21;.8;23.8;63.5;
2023-03-22;0;23.3;66.8;
2023-03-23;0;23.6;64.3;
2023-03-24;0;24.7;61.7;
2023-03-25;0;24;65;
2023-03-26;0;25.7;62.7;
2023-03-27;2;21.3;79.2;
2023-03-28;0;21.3;72.7;
2023-03-29;0;22.5;72.9;
2023-03-30;17.2;24.4;62.4;
2023-03-31;0;22.6;73.8;
2023-04-01;12;22.9;70.1;
2023-04-02;.2;19.5;70.3;
2023-04-03;0;20.1;70.2;
2023-04-04;0;21.9;68.6;
2023-04-05;0;21.5;69.8;
2023-04-06;0;21.2;70.1;
2023-04-07;2.2;20;82.5;
2023-04-08;2.8;20;84.1;
2023-04-09;.8;19.6;75.4;
2023-04-10;0;19.6;67;
2023-04-11;0;20.2;70.9;
2023-04-12;0;21.9;72.8;
2023-04-13;3.4;22.9;69.9;
2023-04-14;10.8;21.6;75.8;
2023-04-15;6.4;20.5;79.9;
2023-04-16;.8;21.5;71.8;
2023-04-17;0;22.1;73.2;
2023-04-18;7.6;22;78.7;
2023-04-19;52.2;20.7;68;
2023-04-20;0;17.7;55.2;
2023-04-21;0;16.8;63.3;
2023-04-22;0;17.8;71.8;
2023-04-23;0;19.7;69.7;
2023-04-24;0;19.4;66.3;
2023-04-25;null;null;66.3;
2023-04-26;0;19.5;77.1;
2023-04-27;.8;20.3;74.6;
2023-04-28;6.4;17.2;83.7;
2023-04-29;.2;18.6;77.3;
2023-04-30;0;20.9;71.8;
2023-05-01;0;21.7;70.1;
2023-05-02;0;21.1;74.3;
2023-05-03;9.8;21.4;73.4;
2023-05-04;0;22.5;66.5;
2023-05-05;0;22.6;68.5;
2023-05-06;0;21.6;73.8;
2023-05-07;0;21.7;71.1;
2023-05-08;0;22.4;67.3;
2023-05-09;0;21.8;70.6;
2023-05-10;3.2;19.5;85.5;
2023-05-11;13.4;19.4;71.2;
2023-05-12;0;16.5;70.9;
2023-05-13;null;null;68.2;
2023-05-14;0;17.1;65.5;
2023-05-15;.2;17;62.6;
2023-05-16;0;16.6;57.7;
2023-05-17;0;16.2;69.5;
2023-05-18;.2;16;70.5;
2023-05-19;0;16.5;69.7;
2023-05-20;0;16.9;68.2;
2023-05-21;null;null;64;
2023-05-22;null;null;60.5;
2023-05-23;0;18.9;62.9;
2023-05-24;0;18.7;69.3;
2023-05-25;.2;19.8;72.5;
2023-05-26;0;20.4;62.7;
2023-05-27;0;20.8;62;
2023-05-28;null;null;74.7;
2023-05-29;12;16.6;81.8;
2023-05-30;0;16.2;77.2;
2023-05-31;13.2;15.7;92;
2023-06-01;20.2;17;80.3;
2023-06-02;0;17.2;75.3;
2023-06-03;0;17.9;72.3;
2023-06-04;.2;18.3;66.8;
2023-06-05;.2;17.7;65.8;
2023-06-06;0;17.1;71.6;
2023-06-07;.2;17;70.3;
2023-06-08;0;18.1;65.8;
2023-06-09;0;18.9;61.3;
2023-06-10;0;20.4;51;
2023-06-11;0;21.8;45;
2023-06-12;0;19.9;68.2;
2023-06-13;0;16.8;82;
2023-06-14;8.2;15.8;88.9;
2023-06-15;11.6;16.5;90.2;
2023-06-16;4;14.7;82.5;
2023-06-17;0;13.2;71.7;
2023-06-18;0;14.3;73.9;
2023-06-19;0;14.7;74;
2023-06-20;0;16.3;67.7;
2023-06-21;.2;16.8;66.5;
2023-06-22;0;17.9;62.8;
2023-06-23;0;18.7;62.3;
2023-06-24;0;19.6;59;
2023-06-25;0;20.1;60;
2023-06-26;0;20;56.6;
2023-06-27;null;null;49.4;
2023-06-28;0;20.2;53.4;
2023-06-29;0;18.5;66;
2023-06-30;.8;17.4;75.5;
2023-07-01;0;17.4;73.9;
2023-07-02;0;16.6;69.3;
2023-07-03;0;15.3;70.5;
2023-07-04;0;14.9;70;
2023-07-05;.2;15.9;65.6;
2023-07-06;0;17.2;56.7;
2023-07-07;null;null;44.2;
2023-07-08;null;null;46;
2023-07-09;null;null;76.3;
2023-07-10;null;18.3;80.5;
2023-07-11;.2;20.6;73.7;
2023-07-12;0;21.5;63;
2023-07-13;.2;21.8;39.9;
2023-07-14;null;null;49.5;
2023-07-15;0;14;66.9;
2023-07-16;0;15.9;66.3;
2023-07-17;null;null;61.6;
2023-07-18;null;16.1;81.7;
2023-07-19;0;15.3;81.5;
2023-07-20;0;16.7;72.7;
2023-07-21;0;17.8;72.2;
2023-07-22;0;17.1;72.9;
2023-07-23;0;18.6;63.2;
2023-07-24;0;19.7;54;
2023-07-25;null;null;47.6;
2023-07-26;0;21;53.5;
2023-07-27;0;19.6;65.2;
2023-07-28;0;20.1;68.3;
2023-07-29;4.6;15.4;79.2;
2023-07-30;0;15.5;75.6;
2023-07-31;0;18;72.3;
2023-08-01;0;18.8;69.5;
2023-08-02;0;20;64.3;
2023-08-03;0;20.8;54.1;
2023-08-04;0;18.7;62.5;
2023-08-05;null;null;45.9;
2023-08-06;0;21.3;53.7;
2023-08-07;0;23.2;43.9;
2023-08-08;.2;17.5;77;
2023-08-09;7;18.4;78.9;
2023-08-10;.8;20.2;70.6;
2023-08-11;0;21;63.2;
2023-08-12;1.2;18.8;71.4;
2023-08-13;.2;16.2;79.6;
2023-08-14;0;15.5;82.3;
2023-08-15;0;18.8;77.1;
2023-08-16;0;21;69.9;
2023-08-17;0;22.2;57.4;
2023-08-18;0;23.1;49.7;
2023-08-19;0;22;46.9;
2023-08-20;0;19.9;61.5;
2023-08-21;0;21.5;54.7;
2023-08-22;0;22.5;52;
2023-08-23;null;null;28.8;
2023-08-24;0;26;36.7;
2023-08-25;null;18.7;75;
2023-08-26;null;13.9;85.9;
2023-08-27;null;11.6;85.4;
2023-08-28;null;13;84.9;
2023-08-29;null;16.5;75.9;
2023-08-30;null;18.1;70.9;
2023-08-31;null;18.4;62.6;
2023-09-01;null;19;59.8;
2023-09-02;null;21.6;70.8;
2023-09-03;null;23.7;69.8;
2023-09-04;null;26.4;57.1;
2023-09-05;null;21.7;69;
2023-09-06;null;17.2;78.1;
2023-09-07;null;18.5;72.5;
2023-09-08;null;22;60.8;
2023-09-09;null;22.2;60.3;
2023-09-10;null;21;65.9;
2023-09-11;null;23;60.4;
2023-09-12;null;25;37.7;
2023-09-13;null;25.8;38.7;
2023-09-14;.2;20.6;66;
2023-09-15;19.6;16.1;73;
2023-09-16;0;20.1;64.8;
2023-09-17;0;24.9;52.4;
2023-09-18;0;26;45.8;
2023-09-19;0;26.2;44;
2023-09-20;0;23.7;56.5;
2023-09-21;0;22.1;68.5;
2023-09-22;0;24.9;58.6;
2023-09-23;0;25.7;51.9;
2023-09-24;0;28.1;39.5;
2023-09-25;0;23.9;68.5;
2023-09-26;0;26.7;57.1;
2023-09-27;0;26.8;58.4;
2023-09-28;27.2;null;79.7;
2023-09-29;null;null;70.9;
2023-09-30;0;20;75.5;
2023-10-01;52;19.5;89.7;
2023-10-02;13.6;18.2;84.5;
2023-10-03;.6;20.4;76.8;
2023-10-04;0;22.3;77.4;
2023-10-05;35.6;22;78.2;
2023-10-06;3.4;24.4;69.7;
2023-10-07;0;25.8;66.8;
2023-10-08;34.6;21.6;86.4;
2023-10-09;77.2;20.7;78.9;
2023-10-10;0;19.3;76.2;
2023-10-11;.2;24.3;61;
2023-10-12;0;23.1;76.5;
2023-10-13;21.4;17.2;84;
2023-10-14;.2;16;81.1;
2023-10-15;0;18.9;76.4;
2023-10-16;0;24;67;
2023-10-17;27.2;21.1;78.5;
2023-10-18;4.2;19.4;78.2;
2023-10-19;.2;17.3;80.1;
2023-10-20;0;17.7;79.5;
2023-10-21;0;18.5;77.8;
2023-10-22;0;20.3;71.5;
2023-10-23;0;22.8;66.2;
2023-10-24;0;25.8;57.4;
2023-10-25;.2;21.8;73;
2023-10-26;12.8;20;79.3;
2023-10-27;0;20.9;76.8;
2023-10-28;9;23.3;71;
2023-10-29;7;23.5;75;
2023-10-30;31.4;25;69.3;
2023-10-31;.2;23.9;73.6;
2023-11-01;14.6;20;80.1;
2023-11-02;0;19.1;77.5;
2023-11-03;0;22.6;76;
2023-11-04;11.6;22.8;57;
2023-11-05;0;18.9;58.9;
2023-11-06;0;18.2;61.3;
2023-11-07;0;19.6;64.3;
2023-11-08;0;23.4;52.8;
2023-11-09;0;26.4;46.4;
2023-11-10;0;23.8;67.4;
2023-11-11;0;27;52.8;
2023-11-12;0;30.1;37.7;
2023-11-13;0;30.8;38;
2023-11-14;0;27.3;60.4;
2023-11-15;0;26.9;62;
2023-11-16;51.2;26.1;60;
2023-11-17;0;28.7;53.5;
2023-11-18;0;29.2;54.6;
2023-11-19;19;21.9;82.2;
2023-11-20;16.8;21.3;80.2;
2023-11-21;null;null;null;
2023-11-22;null;null;null;
2023-11-23;5.4;24.5;71;
2023-11-24;4;18.9;82;
2023-11-25;1.4;16.4;78;
2023-11-26;null;null;null;
2023-11-27;null;null;null;
2023-11-28;null;null;64.7;
2023-11-29;26.6;22.2;78.7;
2023-11-30;10.2;24.4;68.5;
2023-12-01;0;24.9;67.9;
2023-12-02;0;25.8;62.1;
2023-12-03;0;27.4;55;
2023-12-04;0;24.7;66.5;
2023-12-05;3;23.7;71.6;
2023-12-06;0;26.4;60.5;
2023-12-07;0;28.4;52.9;
2023-12-08;9.8;24.5;65.9;
2023-12-09;0;19.6;77.3;
2023-12-10;0;20.8;70.1;
2023-12-11;12.8;21.2;77.6;
2023-12-12;.2;20.5;71;
2023-12-13;0;21.9;68.8;
2023-12-14;0;25.9;59.6;
2023-12-15;0;26.8;56.2;
2023-12-16;0;26.1;65.5;
2023-12-17;7.4;25.4;65;
2023-12-18;13.2;25.5;55.9;
2023-12-19;0;23.7;63;
2023-12-20;0;22.6;61.1;
2023-12-21;0;23.3;65.1;
2023-12-22;0;25.1;67;
2023-12-23;7.4;24.2;71.2;
2023-12-24;31.6;24.6;66.4;
2023-12-25;0;27.1;57.3;
2023-12-26;0;25;64.6;
2023-12-27;1;21.5;59.6;
2023-12-28;0;23.1;58.4;
2023-12-29;0;27.1;50.7;
2023-12-30;3.6;22.4;68.3;
2023-12-31;2;20.8;68.8;
2024-01-01;0;21.3;67.1;
2024-01-02;0;22.8;67.8;
2024-01-03;.2;23.1;73.8;
2024-01-04;11.2;21.5;83.1;
2024-01-05;10.4;22.3;74.1;
2024-01-06;0;23.1;67.8;
2024-01-07;0;24.9;63.3;
2024-01-08;0;25.6;63.3;
2024-01-09;11;24.9;65;
2024-01-10;32.2;26.3;63.5;
2024-01-11;54.4;25;69.7;
2024-01-12;.4;24.1;76.3;
2024-01-13;69;21.1;86.5;
2024-01-14;0;23.8;66.8;
2024-01-15;0;26.1;65.3;
2024-01-16;0;27.8;57.3;
2024-01-17;0;27.3;61.8;
2024-01-18;9.8;26.4;69.8;
2024-01-19;2.8;25.1;67.2;
2024-01-20;2.4;23.7;76.2;
2024-01-21;26.2;21.8;82.8;
2024-01-22;16.8;21.3;77.8;
2024-01-23;9.2;18.6;84.9;
2024-01-24;22.4;19.3;76.8;
2024-01-25;.4;18.4;81.9;
2024-01-26;1.8;19;77.6;
2024-01-27;.2;20.8;77.3;
2024-01-28;1.6;20.8;77.5;
2024-01-29;13.6;22.8;65.6;
2024-01-30;0;25.4;54.5;
2024-01-31;0;23.1;68.1;
2024-02-01;11.4;21.3;73.1;
