data,tipo_ocorrencia,bairro,descricao,gravidade,chuva_mm,temperatura_c,umidade_percent
2023-10-28,risco estrutural,São Mateus,"Avaliação de risco estrutural em imóvel no bairro São Mateus, com possibilidade de colapso parcial.",leve,42.1,27.2,73.7
2022-08-11,incêndio urbano,Vila Madalena,"Incêndio urbano no bairro Vila Madalena, mobilizando equipes para conter as chamas em área residencial.",moderada,19.1,37.6,33.8
2022-06-16,risco estrutural,Vila Mariana,"Avaliação de risco estrutural em imóvel no bairro Vila Mariana, com possibilidade de colapso parcial.",moderada,26.9,18.3,84.7
2022-12-11,vendaval,M'Boi Mirim,"Vendaval atingiu o bairro M'Boi Mirim, derrubando estruturas leves e causando falta de energia na região.",moderada,106.6,31.4,56.9
2024-01-24,árvore caída,Jaçanã,"Queda de árvore no bairro Jaçanã, obstruindo parcialmente a via e oferecendo risco à população.",crítica,80.3,27.0,75.6
2024-07-19,incêndio urbano,Tatuapé,"Incêndio urbano no bairro Tatuapé, mobilizando equipes para conter as chamas em área residencial.",alta,16.2,36.0,25.8
2024-12-03,árvore caída,Butantã,"Queda de árvore no bairro Butantã, obstruindo parcialmente a via e oferecendo risco à população.",crítica,84.2,29.3,48.9
2022-04-18,incêndio urbano,Tatuapé,"Incêndio urbano no bairro Tatuapé, mobilizando equipes para conter as chamas em área residencial.",leve,4.5,36.8,33.6
2023-09-25,incêndio urbano,Perdizes,"Incêndio urbano no bairro Perdizes, mobilizando equipes para conter as chamas em área residencial.",leve,39.7,37.3,25.8
2022-06-07,deslizamento,Freguesia do Ó,"Deslizamento de encosta registrado no bairro Freguesia do Ó, afetando moradias e bloqueando vias locais.",moderada,95.5,19.5,93.5
2023-08-27,vendaval,Parelheiros,"Vendaval atingiu o bairro Parelheiros, derrubando estruturas leves e causando falta de energia na região.",alta,24.0,17.3,89.7
2023-01-09,deslizamento,Santana,"Deslizamento de encosta registrado no bairro Santana, afetando moradias e bloqueando vias locais.",leve,76.3,31.5,81.6
2022-06-11,deslizamento,M'Boi Mirim,"Deslizamento de encosta registrado no bairro M'Boi Mirim, afetando moradias e bloqueando vias locais.",leve,114.5,17.5,93.2
2022-11-27,risco estrutural,Cidade Tiradentes,"Avaliação de risco estrutural em imóvel no bairro Cidade Tiradentes, com possibilidade de colapso parcial.",moderada,47.2,25.8,73.9
2024-06-11,risco estrutural,Itaquera,"Avaliação de risco estrutural em imóvel no bairro Itaquera, com possibilidade de colapso parcial.",leve,14.5,16.6,95.0
2024-05-08,vendaval,São Mateus,"Vendaval atingiu o bairro São Mateus, derrubando estruturas leves e causando falta de energia na região.",leve,20.3,26.9,72.1
2024-08-06,deslizamento,Capão Redondo,"Deslizamento de encosta registrado no bairro Capão Redondo, afetando moradias e bloqueando vias locais.",leve,63.0,20.5,90.5
2022-01-09,incêndio urbano,Jardins,"Incêndio urbano no bairro Jardins, mobilizando equipes para conter as chamas em área residencial.",leve,38.0,34.2,26.0
2022-02-08,risco estrutural,Butantã,"Avaliação de risco estrutural em imóvel no bairro Butantã, com possibilidade de colapso parcial.",crítica,47.0,26.7,74.2
2022-02-27,risco estrutural,Capão Redondo,"Avaliação de risco estrutural em imóvel no bairro Capão Redondo, com possibilidade de colapso parcial.",alta,1.9,25.5,76.4
2022-01-20,árvore caída,Vila Mariana,"Queda de árvore no bairro Vila Mariana, obstruindo parcialmente a via e oferecendo risco à população.",leve,91.0,29.3,63.5
2023-11-18,alagamento,São Mateus,"Alagamento em via pública no bairro São Mateus, causando transtornos no trânsito e riscos aos pedestres.",crítica,116.6,26.6,81.2
2022-02-09,deslizamento,Butantã,"Deslizamento de encosta registrado no bairro Butantã, afetando moradias e bloqueando vias locais.",leve,95.8,25.5,89.5
2023-05-10,árvore caída,Lapa,"Queda de árvore no bairro Lapa, obstruindo parcialmente a via e oferecendo risco à população.",moderada,46.3,23.3,69.7
2023-09-15,vendaval,Sé,"Vendaval atingiu o bairro Sé, derrubando estruturas leves e causando falta de energia na região.",leve,36.8,19.5,94.6
2022-04-03,risco estrutural,Pinheiros,"Avaliação de risco estrutural em imóvel no bairro Pinheiros, com possibilidade de colapso parcial.",alta,54.3,20.0,89.1
2022-07-25,incêndio urbano,Capão Redondo,"Incêndio urbano no bairro Capão Redondo, mobilizando equipes para conter as chamas em área residencial.",moderada,10.6,31.5,36.0
2022-04-05,deslizamento,M'Boi Mirim,"Deslizamento de encosta registrado no bairro M'Boi Mirim, afetando moradias e bloqueando vias locais.",moderada,63.6,27.2,85.0
2023-07-07,alagamento,Butantã,"Alagamento em via pública no bairro Butantã, causando transtornos no trânsito e riscos aos pedestres.",leve,93.7,22.8,82.4
2022-04-18,alagamento,Santo Amaro,"Alagamento em via pública no bairro Santo Amaro, causando transtornos no trânsito e riscos aos pedestres.",alta,89.3,21.3,89.0
2022-10-27,árvore caída,Tatuapé,"Queda de árvore no bairro Tatuapé, obstruindo parcialmente a via e oferecendo risco à população.",moderada,43.6,17.7,85.7
2023-05-22,alagamento,Lapa,"Alagamento em via pública no bairro Lapa, causando transtornos no trânsito e riscos aos pedestres.",leve,76.1,24.3,88.3
2024-10-12,risco estrutural,Jardins,"Avaliação de risco estrutural em imóvel no bairro Jardins, com possibilidade de colapso parcial.",moderada,51.0,23.0,87.6
2024-10-28,alagamento,Penha,"Alagamento em via pública no bairro Penha, causando transtornos no trânsito e riscos aos pedestres.",leve,72.1,20.9,81.7
2024-10-24,risco estrutural,Mooca,"Avaliação de risco estrutural em imóvel no bairro Mooca, com possibilidade de colapso parcial.",leve,7.2,25.3,80.8
2024-09-28,risco estrutural,Liberdade,"Avaliação de risco estrutural em imóvel no bairro Liberdade, com possibilidade de colapso parcial.",leve,43.0,22.7,82.4
2022-02-26,alagamento,Pinheiros,"Alagamento em via pública no bairro Pinheiros, causando transtornos no trânsito e riscos aos pedestres.",crítica,95.0,23.7,89.2
2024-04-24,deslizamento,Parelheiros,"Deslizamento de encosta registrado no bairro Parelheiros, afetando moradias e bloqueando vias locais.",moderada,43.4,25.7,80.4
2022-03-25,incêndio urbano,Perdizes,"Incêndio urbano no bairro Perdizes, mobilizando equipes para conter as chamas em área residencial.",leve,32.0,37.8,35.7
2022-02-17,risco estrutural,Lapa,"Avaliação de risco estrutural em imóvel no bairro Lapa, com possibilidade de colapso parcial.",crítica,15.0,23.2,75.7
2022-06-17,incêndio urbano,Casa Verde,"Incêndio urbano no bairro Casa Verde, mobilizando equipes para conter as chamas em área residencial.",moderada,20.6,33.1,32.8
2024-11-16,vendaval,Bela Vista,"Vendaval atingiu o bairro Bela Vista, derrubando estruturas leves e causando falta de energia na região.",alta,110.6,28.3,65.9
2022-03-02,risco estrutural,Liberdade,"Avaliação de risco estrutural em imóvel no bairro Liberdade, com possibilidade de colapso parcial.",crítica,62.1,16.8,91.2
2024-08-10,incêndio urbano,Santo Amaro,"Incêndio urbano no bairro Santo Amaro, mobilizando equipes para conter as chamas em área residencial.",leve,3.9,37.3,26.0
2024-08-10,árvore caída,Itaquera,"Queda de árvore no bairro Itaquera, obstruindo parcialmente a via e oferecendo risco à população.",crítica,7.9,18.4,87.0
2023-10-12,deslizamento,Brasilândia,"Deslizamento de encosta registrado no bairro Brasilândia, afetando moradias e bloqueando vias locais.",leve,64.0,33.8,94.3
2024-08-26,árvore caída,Pinheiros,"Queda de árvore no bairro Pinheiros, obstruindo parcialmente a via e oferecendo risco à população.",moderada,36.5,26.8,74.0
2022-03-27,deslizamento,Penha,"Deslizamento de encosta registrado no bairro Penha, afetando moradias e bloqueando vias locais.",leve,100.6,21.4,82.8
2023-02-18,alagamento,Lapa,"Alagamento em via pública no bairro Lapa, causando transtornos no trânsito e riscos aos pedestres.",leve,117.2,22.0,86.4
2022-09-29,árvore caída,Santana,"Queda de árvore no bairro Santana, obstruindo parcialmente a via e oferecendo risco à população.",moderada,24.5,25.1,77.1
2022-08-18,vendaval,Tatuapé,"Vendaval atingiu o bairro Tatuapé, derrubando estruturas leves e causando falta de energia na região.",moderada,31.0,21.0,74.3
2023-04-04,deslizamento,Santo Amaro,"Deslizamento de encosta registrado no bairro Santo Amaro, afetando moradias e bloqueando vias locais.",alta,72.6,24.4,90.7
2024-12-17,risco estrutural,Vila Prudente,"Avaliação de risco estrutural em imóvel no bairro Vila Prudente, com possibilidade de colapso parcial.",moderada,52.9,25.9,75.1
2024-10-23,vendaval,M'Boi Mirim,"Vendaval atingiu o bairro M'Boi Mirim, derrubando estruturas leves e causando falta de energia na região.",alta,65.0,16.7,81.0
2024-06-19,árvore caída,Penha,"Queda de árvore no bairro Penha, obstruindo parcialmente a via e oferecendo risco à população.",crítica,31.1,16.2,91.3
2024-01-14,árvore caída,Mooca,"Queda de árvore no bairro Mooca, obstruindo parcialmente a via e oferecendo risco à população.",leve,87.1,31.5,61.1
2022-09-28,alagamento,Liberdade,"Alagamento em via pública no bairro Liberdade, causando transtornos no trânsito e riscos aos pedestres.",leve,57.1,23.6,88.7
2024-11-15,incêndio urbano,Penha,"Incêndio urbano no bairro Penha, mobilizando equipes para conter as chamas em área residencial.",leve,68.7,36.2,28.3
2024-08-12,alagamento,Pinheiros,"Alagamento em via pública no bairro Pinheiros, causando transtornos no trânsito e riscos aos pedestres.",leve,80.6,25.0,83.3
2024-03-25,alagamento,Jardins,"Alagamento em via pública no bairro Jardins, causando transtornos no trânsito e riscos aos pedestres.",leve,45.8,25.9,90.7
2023-07-23,vendaval,Freguesia do Ó,"Vendaval atingiu o bairro Freguesia do Ó, derrubando estruturas leves e causando falta de energia na região.",leve,-1.6,20.4,81.9
2023-03-16,deslizamento,Sé,"Deslizamento de encosta registrado no bairro Sé, afetando moradias e bloqueando vias locais.",moderada,92.8,29.9,93.5
2022-01-05,árvore caída,Vila Madalena,"Queda de árvore no bairro Vila Madalena, obstruindo parcialmente a via e oferecendo risco à população.",moderada,36.1,28.1,72.4
2023-12-15,vendaval,Butantã,"Vendaval atingiu o bairro Butantã, derrubando estruturas leves e causando falta de energia na região.",moderada,53.9,31.1,68.2
2022-09-15,vendaval,Penha,"Vendaval atingiu o bairro Penha, derrubando estruturas leves e causando falta de energia na região.",moderada,36.7,20.8,81.1
2022-02-24,alagamento,Lapa,"Alagamento em via pública no bairro Lapa, causando transtornos no trânsito e riscos aos pedestres.",moderada,89.9,24.1,89.3
2022-12-15,risco estrutural,Penha,"Avaliação de risco estrutural em imóvel no bairro Penha, com possibilidade de colapso parcial.",leve,78.9,26.8,68.5
2022-12-21,incêndio urbano,M'Boi Mirim,"Incêndio urbano no bairro M'Boi Mirim, mobilizando equipes para conter as chamas em área residencial.",moderada,130.6,31.6,39.5
2024-07-04,incêndio urbano,Mooca,"Incêndio urbano no bairro Mooca, mobilizando equipes para conter as chamas em área residencial.",moderada,24.3,34.8,28.2
2024-10-18,alagamento,Penha,"Alagamento em via pública no bairro Penha, causando transtornos no trânsito e riscos aos pedestres.",leve,62.1,26.4,89.7
2022-09-23,incêndio urbano,Tatuapé,"Incêndio urbano no bairro Tatuapé, mobilizando equipes para conter as chamas em área residencial.",leve,39.4,35.0,32.2
2024-08-25,risco estrutural,Jardins,"Avaliação de risco estrutural em imóvel no bairro Jardins, com possibilidade de colapso parcial.",moderada,19.6,14.7,90.4
2022-01-09,incêndio urbano,Pinheiros,"Incêndio urbano no bairro Pinheiros, mobilizando equipes para conter as chamas em área residencial.",leve,78.2,33.4,36.0
2023-05-22,árvore caída,Vila Madalena,"Queda de árvore no bairro Vila Madalena, obstruindo parcialmente a via e oferecendo risco à população.",leve,53.1,20.5,76.2
2024-09-21,incêndio urbano,Ermelino Matarazzo,"Incêndio urbano no bairro Ermelino Matarazzo, mobilizando equipes para conter as chamas em área residencial.",moderada,22.5,36.8,32.6
2024-11-21,deslizamento,Ipiranga,"Deslizamento de encosta registrado no bairro Ipiranga, afetando moradias e bloqueando vias locais.",leve,112.6,24.0,94.1
2022-01-23,deslizamento,Casa Verde,"Deslizamento de encosta registrado no bairro Casa Verde, afetando moradias e bloqueando vias locais.",leve,47.2,15.2,86.8
2023-06-15,incêndio urbano,Casa Verde,"Incêndio urbano no bairro Casa Verde, mobilizando equipes para conter as chamas em área residencial.",moderada,24.8,33.1,32.9
2023-06-04,deslizamento,Butantã,"Deslizamento de encosta registrado no bairro Butantã, afetando moradias e bloqueando vias locais.",leve,67.5,21.0,83.0
2022-01-27,árvore caída,M'Boi Mirim,"Queda de árvore no bairro M'Boi Mirim, obstruindo parcialmente a via e oferecendo risco à população.",leve,74.1,31.6,60.7
2022-10-08,deslizamento,Brasilândia,"Deslizamento de encosta registrado no bairro Brasilândia, afetando moradias e bloqueando vias locais.",crítica,55.6,22.8,92.5
2022-10-26,risco estrutural,Lapa,"Avaliação de risco estrutural em imóvel no bairro Lapa, com possibilidade de colapso parcial.",leve,32.5,25.9,76.4
2022-06-26,árvore caída,Ermelino Matarazzo,"Queda de árvore no bairro Ermelino Matarazzo, obstruindo parcialmente a via e oferecendo risco à população.",moderada,34.5,22.4,78.7
2024-02-24,incêndio urbano,Itaquera,"Incêndio urbano no bairro Itaquera, mobilizando equipes para conter as chamas em área residencial.",moderada,31.6,32.3,31.9
2022-01-22,deslizamento,Santana,"Deslizamento de encosta registrado no bairro Santana, afetando moradias e bloqueando vias locais.",moderada,111.1,24.9,80.4
2023-05-12,árvore caída,Lapa,"Queda de árvore no bairro Lapa, obstruindo parcialmente a via e oferecendo risco à população.",leve,38.6,23.3,83.1
2022-06-26,deslizamento,Ermelino Matarazzo,"Deslizamento de encosta registrado no bairro Ermelino Matarazzo, afetando moradias e bloqueando vias locais.",leve,62.8,19.5,82.5
2022-03-04,árvore caída,Parelheiros,"Queda de árvore no bairro Parelheiros, obstruindo parcialmente a via e oferecendo risco à população.",alta,109.9,28.3,60.2
2023-07-23,deslizamento,Jardins,"Deslizamento de encosta registrado no bairro Jardins, afetando moradias e bloqueando vias locais.",moderada,88.5,17.5,90.3
2024-04-22,vendaval,Brasilândia,"Vendaval atingiu o bairro Brasilândia, derrubando estruturas leves e causando falta de energia na região.",leve,13.1,21.1,79.2
2022-10-18,risco estrutural,Liberdade,"Avaliação de risco estrutural em imóvel no bairro Liberdade, com possibilidade de colapso parcial.",alta,102.7,25.8,83.2
2022-05-31,vendaval,Cidade Tiradentes,"Vendaval atingiu o bairro Cidade Tiradentes, derrubando estruturas leves e causando falta de energia na região.",alta,19.7,25.1,67.2
2024-01-06,árvore caída,Itaquera,"Queda de árvore no bairro Itaquera, obstruindo parcialmente a via e oferecendo risco à população.",crítica,80.9,25.9,75.1
2024-02-07,incêndio urbano,Lapa,"Incêndio urbano no bairro Lapa, mobilizando equipes para conter as chamas em área residencial.",leve,70.2,35.5,25.1
2022-12-26,alagamento,Liberdade,"Alagamento em via pública no bairro Liberdade, causando transtornos no trânsito e riscos aos pedestres.",leve,131.4,34.5,88.2
2023-09-11,deslizamento,Itaquera,"Deslizamento de encosta registrado no bairro Itaquera, afetando moradias e bloqueando vias locais.",leve,49.4,26.5,85.2
2022-02-23,vendaval,Ipiranga,"Vendaval atingiu o bairro Ipiranga, derrubando estruturas leves e causando falta de energia na região.",leve,83.2,27.9,56.6
2024-05-15,vendaval,Capão Redondo,"Vendaval atingiu o bairro Capão Redondo, derrubando estruturas leves e causando falta de energia na região.",leve,27.5,19.7,81.9
2023-07-25,deslizamento,Bela Vista,"Deslizamento de encosta registrado no bairro Bela Vista, afetando moradias e bloqueando vias locais.",leve,115.7,15.3,88.3
2022-07-20,alagamento,Mooca,"Alagamento em via pública no bairro Mooca, causando transtornos no trânsito e riscos aos pedestres.",leve,62.3,22.7,81.5
2024-12-30,alagamento,Jaçanã,"Alagamento em via pública no bairro Jaçanã, causando transtornos no trânsito e riscos aos pedestres.",leve,83.1,27.3,94.5
2023-07-30,risco estrutural,Capão Redondo,"Avaliação de risco estrutural em imóvel no bairro Capão Redondo, com possibilidade de colapso parcial.",alta,23.3,19.3,90.8
2023-02-28,alagamento,Butantã,"Alagamento em via pública no bairro Butantã, causando transtornos no trânsito e riscos aos pedestres.",alta,92.9,25.2,80.3
2023-06-13,árvore caída,Brasilândia,"Queda de árvore no bairro Brasilândia, obstruindo parcialmente a via e oferecendo risco à população.",moderada,20.4,14.2,95.0
2024-04-22,deslizamento,Perdizes,"Deslizamento de encosta registrado no bairro Perdizes, afetando moradias e bloqueando vias locais.",moderada,100.5,20.7,94.8
2023-09-22,deslizamento,Freguesia do Ó,"Deslizamento de encosta registrado no bairro Freguesia do Ó, afetando moradias e bloqueando vias locais.",moderada,60.7,21.2,94.2
2023-01-19,risco estrutural,Bela Vista,"Avaliação de risco estrutural em imóvel no bairro Bela Vista, com possibilidade de colapso parcial.",moderada,70.2,32.1,53.3
2022-06-03,deslizamento,Perdizes,"Deslizamento de encosta registrado no bairro Perdizes, afetando moradias e bloqueando vias locais.",alta,103.3,21.2,88.7
2024-02-23,deslizamento,Vila Prudente,"Deslizamento de encosta registrado no bairro Vila Prudente, afetando moradias e bloqueando vias locais.",moderada,115.8,26.4,90.9
2022-11-06,vendaval,Lapa,"Vendaval atingiu o bairro Lapa, derrubando estruturas leves e causando falta de energia na região.",moderada,45.7,26.9,67.1
2024-10-23,alagamento,Freguesia do Ó,"Alagamento em via pública no bairro Freguesia do Ó, causando transtornos no trânsito e riscos aos pedestres.",moderada,79.3,17.9,87.1
2022-04-16,árvore caída,Tatuapé,"Queda de árvore no bairro Tatuapé, obstruindo parcialmente a via e oferecendo risco à população.",leve,70.8,20.8,80.8
2022-05-28,risco estrutural,Sé,"Avaliação de risco estrutural em imóvel no bairro Sé, com possibilidade de colapso parcial.",moderada,15.6,19.1,91.2
2022-05-21,alagamento,Tatuapé,"Alagamento em via pública no bairro Tatuapé, causando transtornos no trânsito e riscos aos pedestres.",moderada,103.0,21.7,94.4
2023-10-09,incêndio urbano,Tremembé,"Incêndio urbano no bairro Tremembé, mobilizando equipes para conter as chamas em área residencial.",alta,54.0,35.6,35.2
2022-06-27,vendaval,Vila Mariana,"Vendaval atingiu o bairro Vila Mariana, derrubando estruturas leves e causando falta de energia na região.",leve,13.6,26.4,75.7
2023-03-24,incêndio urbano,Mooca,"Incêndio urbano no bairro Mooca, mobilizando equipes para conter as chamas em área residencial.",moderada,23.4,34.7,25.4
2022-06-10,risco estrutural,Ipiranga,"Avaliação de risco estrutural em imóvel no bairro Ipiranga, com possibilidade de colapso parcial.",leve,12.7,18.9,85.8
2022-03-17,incêndio urbano,Ermelino Matarazzo,"Incêndio urbano no bairro Ermelino Matarazzo, mobilizando equipes para conter as chamas em área residencial.",leve,66.6,36.2,29.7
2023-11-06,alagamento,Santana,"Alagamento em via pública no bairro Santana, causando transtornos no trânsito e riscos aos pedestres.",leve,88.2,21.5,94.5
2023-11-06,risco estrutural,Parelheiros,"Avaliação de risco estrutural em imóvel no bairro Parelheiros, com possibilidade de colapso parcial.",crítica,121.5,26.4,73.1
2024-02-18,deslizamento,Itaquera,"Deslizamento de encosta registrado no bairro Itaquera, afetando moradias e bloqueando vias locais.",moderada,97.0,23.6,80.1
2023-05-04,deslizamento,Jardins,"Deslizamento de encosta registrado no bairro Jardins, afetando moradias e bloqueando vias locais.",crítica,102.8,16.6,89.1
2022-11-12,alagamento,Butantã,"Alagamento em via pública no bairro Butantã, causando transtornos no trânsito e riscos aos pedestres.",leve,87.0,21.1,84.6
2022-08-20,incêndio urbano,Bela Vista,"Incêndio urbano no bairro Bela Vista, mobilizando equipes para conter as chamas em área residencial.",moderada,0.0,33.8,28.8
2024-01-04,alagamento,Santana,"Alagamento em via pública no bairro Santana, causando transtornos no trânsito e riscos aos pedestres.",moderada,88.9,23.3,83.8
2022-03-26,alagamento,Vila Mariana,"Alagamento em via pública no bairro Vila Mariana, causando transtornos no trânsito e riscos aos pedestres.",leve,79.7,23.3,89.9
2023-03-18,incêndio urbano,Tatuapé,"Incêndio urbano no bairro Tatuapé, mobilizando equipes para conter as chamas em área residencial.",alta,42.5,35.8,30.1
2024-06-19,vendaval,Pinheiros,"Vendaval atingiu o bairro Pinheiros, derrubando estruturas leves e causando falta de energia na região.",moderada,41.6,18.5,93.7
2022-11-12,vendaval,Vila Madalena,"Vendaval atingiu o bairro Vila Madalena, derrubando estruturas leves e causando falta de energia na região.",leve,31.5,20.9,82.0
2022-01-08,risco estrutural,Freguesia do Ó,"Avaliação de risco estrutural em imóvel no bairro Freguesia do Ó, com possibilidade de colapso parcial.",moderada,87.0,27.0,77.2
2023-06-12,deslizamento,Brasilândia,"Deslizamento de encosta registrado no bairro Brasilândia, afetando moradias e bloqueando vias locais.",crítica,110.5,22.4,85.8
2022-03-25,incêndio urbano,Itaquera,"Incêndio urbano no bairro Itaquera, mobilizando equipes para conter as chamas em área residencial.",leve,36.2,35.3,39.1
2022-05-30,árvore caída,Brasilândia,"Queda de árvore no bairro Brasilândia, obstruindo parcialmente a via e oferecendo risco à população.",moderada,33.2,24.2,71.4
2022-02-10,deslizamento,Itaquera,"Deslizamento de encosta registrado no bairro Itaquera, afetando moradias e bloqueando vias locais.",leve,80.3,26.6,82.4
2024-12-06,deslizamento,Vila Madalena,"Deslizamento de encosta registrado no bairro Vila Madalena, afetando moradias e bloqueando vias locais.",leve,95.9,28.7,93.1
2022-08-06,deslizamento,Tremembé,"Deslizamento de encosta registrado no bairro Tremembé, afetando moradias e bloqueando vias locais.",moderada,83.5,22.0,86.5
2022-11-11,vendaval,Parelheiros,"Vendaval atingiu o bairro Parelheiros, derrubando estruturas leves e causando falta de energia na região.",moderada,50.2,21.9,79.6
2023-11-29,risco estrutural,Santana,"Avaliação de risco estrutural em imóvel no bairro Santana, com possibilidade de colapso parcial.",leve,28.9,21.0,82.6
2024-05-14,vendaval,Jaçanã,"Vendaval atingiu o bairro Jaçanã, derrubando estruturas leves e causando falta de energia na região.",moderada,31.7,23.8,84.3
2023-05-14,incêndio urbano,Cidade Tiradentes,"Incêndio urbano no bairro Cidade Tiradentes, mobilizando equipes para conter as chamas em área residencial.",leve,10.2,30.5,28.4
2024-10-04,deslizamento,M'Boi Mirim,"Deslizamento de encosta registrado no bairro M'Boi Mirim, afetando moradias e bloqueando vias locais.",moderada,88.0,24.7,87.8
2022-04-06,alagamento,Tremembé,"Alagamento em via pública no bairro Tremembé, causando transtornos no trânsito e riscos aos pedestres.",alta,117.3,22.3,87.3
2023-08-28,incêndio urbano,Itaquera,"Incêndio urbano no bairro Itaquera, mobilizando equipes para conter as chamas em área residencial.",alta,36.6,34.3,29.4
2023-12-08,árvore caída,Vila Mariana,"Queda de árvore no bairro Vila Mariana, obstruindo parcialmente a via e oferecendo risco à população.",alta,117.6,28.1,68.9
2023-03-16,incêndio urbano,Freguesia do Ó,"Incêndio urbano no bairro Freguesia do Ó, mobilizando equipes para conter as chamas em área residencial.",moderada,58.2,34.9,25.9
2023-04-15,vendaval,Tremembé,"Vendaval atingiu o bairro Tremembé, derrubando estruturas leves e causando falta de energia na região.",leve,0.2,20.3,78.8
2023-10-15,vendaval,São Mateus,"Vendaval atingiu o bairro São Mateus, derrubando estruturas leves e causando falta de energia na região.",leve,24.0,30.0,58.0
2024-03-22,deslizamento,Itaquera,"Deslizamento de encosta registrado no bairro Itaquera, afetando moradias e bloqueando vias locais.",leve,115.0,18.1,94.4
2023-01-01,árvore caída,Cidade Tiradentes,"Queda de árvore no bairro Cidade Tiradentes, obstruindo parcialmente a via e oferecendo risco à população.",moderada,57.7,30.7,62.6
2023-08-27,incêndio urbano,Casa Verde,"Incêndio urbano no bairro Casa Verde, mobilizando equipes para conter as chamas em área residencial.",alta,10.7,33.5,40.0
2024-11-16,alagamento,Tatuapé,"Alagamento em via pública no bairro Tatuapé, causando transtornos no trânsito e riscos aos pedestres.",leve,60.7,21.8,84.2
2022-04-12,alagamento,Capão Redondo,"Alagamento em via pública no bairro Capão Redondo, causando transtornos no trânsito e riscos aos pedestres.",alta,77.7,20.5,87.2
2023-02-15,deslizamento,Capão Redondo,"Deslizamento de encosta registrado no bairro Capão Redondo, afetando moradias e bloqueando vias locais.",moderada,61.0,28.3,85.7
2023-01-20,alagamento,Casa Verde,"Alagamento em via pública no bairro Casa Verde, causando transtornos no trânsito e riscos aos pedestres.",moderada,112.8,21.8,91.9
2022-07-26,deslizamento,Jardins,"Deslizamento de encosta registrado no bairro Jardins, afetando moradias e bloqueando vias locais.",leve,76.1,12.9,91.3
2023-05-24,deslizamento,Casa Verde,"Deslizamento de encosta registrado no bairro Casa Verde, afetando moradias e bloqueando vias locais.",leve,70.0,22.3,80.3
2023-10-19,alagamento,Jaçanã,"Alagamento em via pública no bairro Jaçanã, causando transtornos no trânsito e riscos aos pedestres.",crítica,52.1,24.3,94.5
2022-09-25,deslizamento,Santo Amaro,"Deslizamento de encosta registrado no bairro Santo Amaro, afetando moradias e bloqueando vias locais.",alta,66.1,23.0,93.4
2023-04-19,deslizamento,Liberdade,"Deslizamento de encosta registrado no bairro Liberdade, afetando moradias e bloqueando vias locais.",alta,82.0,25.1,90.5
2023-04-01,incêndio urbano,Cidade Tiradentes,"Incêndio urbano no bairro Cidade Tiradentes, mobilizando equipes para conter as chamas em área residencial.",moderada,59.4,30.6,26.1
